,min,max,range,median,mean,var,sd,se
103,20.0,160.0,160.0,58.0,73.08333333333333,2490.2651515151515,49.90255656291721,14.40562723242539
104,15.0,278.0,15.0,45.5,84.83333333333333,7045.424242424242,83.9370254561373,24.230532121038674
105,15.0,278.0,278.0,45.5,84.83333333333333,7045.424242424242,83.9370254561373,24.230532121038674
106,0.0,329.0,0.0,4.0,65.83333333333333,15505.969696969696,124.52296855186876,35.94668470685637
107,0.0,329.0,329.0,4.0,65.83333333333333,15505.969696969696,124.52296855186876,35.94668470685637
108,2.0,618.0,2.0,18.5,130.16666666666666,47440.333333333336,217.808019442199,62.87575932830642
109,2.0,618.0,618.0,18.5,130.16666666666666,47440.333333333336,217.808019442199,62.87575932830642
110,21.0,152.0,21.0,113.0,97.5,2515.3636363636365,50.153401044830815,14.478039797004165
111,21.0,152.0,152.0,113.0,97.5,2515.3636363636365,50.153401044830815,14.478039797004165
112,10.0,204.0,10.0,26.0,56.916666666666664,4600.628787878788,67.82793515859662,19.58023831119612
113,10.0,204.0,204.0,26.0,56.916666666666664,4600.628787878788,67.82793515859662,19.58023831119612
114,35.0,744.0,35.0,266.0,317.5,61130.09090909091,247.2450017878843,71.37348416901226
115,35.0,744.0,744.0,266.0,317.5,61130.09090909091,247.2450017878843,71.37348416901226
116,1.0,12.0,1.0,6.5,6.5,13.0,3.605551275463989,1.0408329997330663
117,1.0,12.0,12.0,6.5,6.5,13.0,3.605551275463989,1.0408329997330663
118,0.0867632279713606,0.563251836920476,0.0867632279713606,0.139078787659518,0.23284430983823523,0.03434857886113552,0.1853336959679365,0.0535012296284982
119,0.0867632279713606,0.563251836920476,0.563251836920476,0.139078787659518,0.23284430983823523,0.03434857886113552,0.1853336959679365,0.0535012296284982
120,7.11,8.51,7.11,8.095,7.928333333333334,0.2725606060606061,0.5220733722960845,0.15070960101594005
121,7.11,8.51,8.51,8.095,7.928333333333334,0.2725606060606061,0.5220733722960845,0.15070960101594005
122,0.0594755244755247,0.938524064171123,0.0594755244755247,0.10057728519037751,0.21512348543377308,0.06241682780508795,0.24983360023241058,0.07212074817339781
123,0.0594755244755247,0.938524064171123,0.938524064171123,0.10057728519037751,0.21512348543377308,0.06241682780508795,0.24983360023241058,0.07212074817339781
124,0.437454545454546,11.8097112299465,0.437454545454546,0.8221191049761515,2.3724813867204317,10.528632425885533,3.244785420622685,0.9366888680295402
125,0.437454545454546,11.8097112299465,11.8097112299465,0.8221191049761515,2.3724813867204317,10.528632425885533,3.244785420622685,0.9366888680295402
126,1.47574,110.22466,1.47574,2.7953099999999997,24.667428333333334,1725.7058987235241,41.54161646738755,11.992031725009197
127,1.47574,110.22466,110.22466,2.7953099999999997,24.667428333333334,1725.7058987235241,41.54161646738755,11.992031725009197
128,3.72932,68.88476,3.72932,6.953799999999999,17.684986666666667,503.2791140126061,22.433883168381843,6.476104243116937
129,3.72932,68.88476,68.88476,6.953799999999999,17.684986666666667,503.2791140126061,22.433883168381843,6.476104243116937
130,0.03682,1.05742,0.03682,0.67445,0.57428,0.1225924336,0.3501320230998587,0.10107440889430584
131,0.03682,1.05742,1.05742,0.67445,0.57428,0.1225924336,0.3501320230998587,0.10107440889430584
132,0.0,1.71089,0.0,0.025885,0.16799416666666667,0.23671665562651517,0.4865353590711729,0.14045066026500647
133,0.0,1.71089,1.71089,0.025885,0.16799416666666667,0.23671665562651517,0.4865353590711729,0.14045066026500647
134,0.06902,4.20308,0.06902,1.0224199999999999,1.1998583333333332,1.2850360845424242,1.1335943209730825,0.3272404931828201
135,0.06902,4.20308,4.20308,1.0224199999999999,1.1998583333333332,1.2850360845424242,1.1335943209730825,0.3272404931828201
